municipality_code,municipality_name,budget_year,field,source_value,issue,treatment,publication_status,explanatory_note,source_sheet,source_cell
1107,Lawrence,2023,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2023 Summary,P295
1107,Lawrence,2024,per_capita_net_debt,308.109939651052,Reported per-capita value differs from net debt divided by population by 5.1%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims",Calculated comparison is $324.61 per resident using this row's reported values.,2024 Summary,LV295
1107,Lawrence,2024,three_year_average_property_valuation,31076936.67,2024 cached valuation is sharply below adjacent years (at least 176.0x scale difference).,Raw value retained for audit; valuation-derived ratio excluded; reported net debt left unchanged.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims",The 2024 workbook cell is an external-workbook VLOOKUP and its cached value is unreconciled.,2024 Summary,LW295
1111,Trenton,2015,net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection,Textual missingness is preserved as null and never converted to numeric zero.,2015 Summary,LU298
1111,Trenton,2015,net_debt_to_valuation_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2015 Summary,LX298
1111,Trenton,2015,no_ufb_available,X,NJ DCA marks No UFB Available.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says NJ DCA does not have a User-Friendly Budget on file for this municipality.,2015 Summary,F298
1111,Trenton,2015,per_capita_net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2015 Summary,LV298
1111,Trenton,2015,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2015 Summary,P298
1111,Trenton,2015,three_year_average_property_valuation,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2015 Summary,LW298
1111,Trenton,2015,total_structural_imbalances,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2015 Summary,OQ298
1111,Trenton,2019,net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection,Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,LU298
1111,Trenton,2019,net_debt_to_valuation_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,LX298
1111,Trenton,2019,no_ufb_available,X,NJ DCA marks No UFB Available.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says NJ DCA does not have a User-Friendly Budget on file for this municipality.,2019 Summary,F298
1111,Trenton,2019,per_capita_net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,LV298
1111,Trenton,2019,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,P298
1111,Trenton,2019,three_year_average_property_valuation,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,LW298
1111,Trenton,2019,total_structural_imbalances,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2019 Summary,OQ298
1111,Trenton,2020,net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection,Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,LU298
1111,Trenton,2020,net_debt_to_valuation_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,LX298
1111,Trenton,2020,no_ufb_available,X,NJ DCA marks No UFB Available.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says NJ DCA does not have a User-Friendly Budget on file for this municipality.,2020 Summary,F298
1111,Trenton,2020,per_capita_net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,LV298
1111,Trenton,2020,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,P298
1111,Trenton,2020,three_year_average_property_valuation,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,LW298
1111,Trenton,2020,total_structural_imbalances,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,OQ298
1111,Trenton,2021,net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection,Textual missingness is preserved as null and never converted to numeric zero.,2021 Summary,LU298
1111,Trenton,2021,net_debt_to_valuation_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2021 Summary,LX298
1111,Trenton,2021,no_ufb_available,X,NJ DCA marks No UFB Available.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says NJ DCA does not have a User-Friendly Budget on file for this municipality.,2021 Summary,F298
1111,Trenton,2021,per_capita_net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2021 Summary,LV298
1111,Trenton,2021,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2021 Summary,P298
1111,Trenton,2021,three_year_average_property_valuation,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2021 Summary,LW298
1111,Trenton,2021,total_structural_imbalances,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2021 Summary,OQ298
1111,Trenton,2022,net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection,Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,LU297
1111,Trenton,2022,net_debt_to_valuation_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,LX297
1111,Trenton,2022,per_capita_net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,LV297
1111,Trenton,2022,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,P297
1111,Trenton,2022,three_year_average_property_valuation,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,LW297
1111,Trenton,2022,total_structural_imbalances,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,OQ297
1111,Trenton,2024,three_year_average_property_valuation,191658844.33,2024 cached valuation is sharply below adjacent years (at least 15.4x scale difference).,Raw value retained for audit; valuation-derived ratio excluded; reported net debt left unchanged.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims",The 2024 workbook cell is an external-workbook VLOOKUP and its cached value is unreconciled.,2024 Summary,LW297
1111,Trenton,2025,net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection,Textual missingness is preserved as null and never converted to numeric zero.,2025 Summary,LT297
1111,Trenton,2025,net_debt_to_valuation_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2025 Summary,LW297
1111,Trenton,2025,per_capita_net_debt,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2025 Summary,LU297
1111,Trenton,2025,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2025 Summary,P297
1113,West Windsor,2020,per_capita_net_debt,1473.38206192287,Reported per-capita value differs from net debt divided by population by 6.9%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $1,378.39 per resident using this row's reported values.",2020 Summary,LV300
1113,West Windsor,2020,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2020 Summary,G300
1113,West Windsor,2021,per_capita_net_debt,1524.84837117509,Reported per-capita value differs from net debt divided by population by 6.9%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $1,426.54 per resident using this row's reported values.",2021 Summary,LV300
1113,West Windsor,2021,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2021 Summary,G300
1113,West Windsor,2024,three_year_average_property_valuation,24554662.85,2024 cached valuation is sharply below adjacent years (at least 308.5x scale difference).,Raw value retained for audit; valuation-derived ratio excluded; reported net debt left unchanged.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims",The 2024 workbook cell is an external-workbook VLOOKUP and its cached value is unreconciled.,2024 Summary,LW299
1113,West Windsor,2025,per_capita_net_debt,2257.77068060167,Reported per-capita value differs from net debt divided by population by 9.2%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $2,067.08 per resident using this row's reported values.",2025 Summary,LU299
1114,Princeton,2015,per_capita_net_debt,4300.77982185356,Reported per-capita value differs from net debt divided by population by 5.4%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $4,080.42 per resident using this row's reported values.",2015 Summary,LV301
1114,Princeton,2016,per_capita_net_debt,4135.1669249615,Reported per-capita value differs from net debt divided by population by 8.5%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $3,811.04 per resident using this row's reported values.",2016 Summary,LV301
1114,Princeton,2016,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2016 Summary,G301
1114,Princeton,2017,per_capita_net_debt,4567.16445366093,Reported per-capita value differs from net debt divided by population by 9.8%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $4,160.07 per resident using this row's reported values.",2017 Summary,LV301
1114,Princeton,2017,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2017 Summary,G301
1114,Princeton,2018,per_capita_net_debt,3788.1365249195,Reported per-capita value differs from net debt divided by population by 9.4%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $3,461.29 per resident using this row's reported values.",2018 Summary,LV301
1114,Princeton,2019,per_capita_net_debt,3396.57008189836,Reported per-capita value differs from net debt divided by population by 9.2%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $3,111.77 per resident using this row's reported values.",2019 Summary,LV301
1114,Princeton,2020,per_capita_net_debt,7866.41136345169,Reported per-capita value differs from net debt divided by population by 149.3%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $3,155.44 per resident using this row's reported values.",2020 Summary,LV301
1114,Princeton,2020,significant_data_missing,X,NJ DCA marks Significant Data Missing.,Row retained; source values normalized without imputation.,included as source flag in downloadable audit panel; row excluded from net-debt chart and latest-valid debt and tax selections,The source glossary says at least one entire UFB section was left blank.,2020 Summary,G301
1114,Princeton,2020,tax_collection_pct,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,included as null in downloadable audit panel; excluded from latest-valid tax selection,Textual missingness is preserved as null and never converted to numeric zero.,2020 Summary,P301
1114,Princeton,2021,per_capita_net_debt,7450.24350207199,Reported per-capita value differs from net debt divided by population by 149.3%.,Reported value retained; calculated comparison stored separately; no correction made.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims","Calculated comparison is $2,988.50 per resident using this row's reported values.",2021 Summary,LV301
1114,Princeton,2022,net_debt,0,Reported zero is isolated between positive adjacent-year debt values.,Source zero retained; not reclassified as missing; excluded from the chart pending clarification.,included in downloadable audit panel; excluded from net-debt chart and latest-valid debt selection pending clarification,"All underlying net-debt components in the source row are numeric zero, while adjacent years exceed $90 million.",2022 Summary,LU300
1114,Princeton,2022,three_year_average_property_valuation,No data,Source explicitly reports 'No data'.,Normalized to null; row retained; no imputation.,"included in downloadable audit panel as null; excluded from charts, latest-valid table, and interpretive claims",Textual missingness is preserved as null and never converted to numeric zero.,2022 Summary,LW300
1114,Princeton,2024,three_year_average_property_valuation,33996034.73,2024 cached valuation is sharply below adjacent years (at least 277.8x scale difference).,Raw value retained for audit; valuation-derived ratio excluded; reported net debt left unchanged.,"included in downloadable audit panel; excluded from charts, latest-valid table, and interpretive claims",The 2024 workbook cell is an external-workbook VLOOKUP and its cached value is unreconciled.,2024 Summary,LW300
