field,description,unit,source_field,source_sheets,transformation,missing_data_rule,publication_role
three_year_average_property_valuation,Three-year average total property valuation distributed by NJ DCA.,current dollars,3 Yr. Average Property Valuation,2015 Summary through 2025 Summary,Convert numeric cached source value; make no scale repair.,'No data' becomes null; 2024 target values are audit-only.,traceability or audit field
net_debt_to_valuation_pct,Source net debt divided by three-year average property valuation.,percentage points,Net Debt as % of 3 Year Avg Property Valuation,2015 Summary through 2025 Summary,"Multiply the source fraction by 100; retain in the audit download but exclude from charts, summary tables, and interpretive claims.",'No data' becomes null; 2024 values remain audit-only.,traceability or audit field
publication_eligible_net_debt,Whether a reported net-debt point may appear in the public chart/table.,boolean,Derived quality-control field,2015 Summary through 2025 Summary,"False for source flags, missing debt, or an unreconciled isolated zero.",Never null.,traceability or audit field
net_debt_publication_exclusion_reason,Visible reason a net-debt observation is not displayed.,text,Derived quality-control field,2015 Summary through 2025 Summary,Concatenate applicable evidence-based exclusion reasons.,Blank when the observation is eligible.,traceability or audit field
publication_eligible_tax_collection,Whether a tax-collection value may appear in the latest-valid table.,boolean,Derived quality-control field,2015 Summary through 2025 Summary,False for source flags or missing tax-collection value.,Never null.,traceability or audit field
tax_collection_publication_exclusion_reason,Visible reason a tax-collection observation is not displayed.,text,Derived quality-control field,2015 Summary through 2025 Summary,Concatenate applicable evidence-based exclusion reasons.,Blank when the observation is eligible.,traceability or audit field
source_workbook,Workbook filename used for the observation.,text,Build configuration,2015 Summary through 2025 Summary,Assign the pinned source filename.,Never missing.,traceability or audit field
source_sheet,Annual source sheet containing the observation.,text,Workbook sheet name,2015 Summary through 2025 Summary,Preserve the exact sheet name.,Never missing.,traceability or audit field
source_row,One-based row number in the annual source sheet.,row number,Workbook row position,2015 Summary through 2025 Summary,Record during extraction.,Never missing.,traceability or audit field
population_estimate_source_cell,Excel cell address for population_estimate in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
net_debt_source_cell,Excel cell address for net_debt in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
per_capita_net_debt_source_cell,Excel cell address for per_capita_net_debt in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
tax_collection_pct_source_cell,Excel cell address for tax_collection_pct in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
no_ufb_available_source_cell,Excel cell address for no_ufb_available in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
significant_data_missing_source_cell,Excel cell address for significant_data_missing in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
total_structural_imbalances_source_cell,Excel cell address for total_structural_imbalances in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
three_year_average_property_valuation_source_cell,Excel cell address for three_year_average_property_valuation in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
net_debt_to_valuation_pct_source_cell,Excel cell address for net_debt_to_valuation_pct in source_sheet.,cell address,Workbook coordinate,2015 Summary through 2025 Summary,Record column letter and one-based source row.,Never missing when the workbook contract passes.,traceability or audit field
population_estimate_source_value,Auditable text representation of the source value for population_estimate.,source representation,population_estimate,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
net_debt_source_value,Auditable text representation of the source value for net_debt.,source representation,net_debt,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
per_capita_net_debt_source_value,Auditable text representation of the source value for per_capita_net_debt.,source representation,per_capita_net_debt,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
tax_collection_pct_source_value,Auditable text representation of the source value for tax_collection_pct.,source representation,tax_collection_pct,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
no_ufb_available_source_value,Auditable text representation of the source value for no_ufb_available.,source representation,no_ufb_available,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
significant_data_missing_source_value,Auditable text representation of the source value for significant_data_missing.,source representation,significant_data_missing,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
total_structural_imbalances_source_value,Auditable text representation of the source value for total_structural_imbalances.,source representation,total_structural_imbalances,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
three_year_average_property_valuation_source_value,Auditable text representation of the source value for three_year_average_property_valuation.,source representation,three_year_average_property_valuation,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
net_debt_to_valuation_pct_source_value,Auditable text representation of the source value for net_debt_to_valuation_pct.,source representation,net_debt_to_valuation_pct,2015 Summary through 2025 Summary,Preserve strings; format numeric source values without changing their meaning.,Blank source cells remain blank; 'No data' stays literal.,traceability or audit field
